id,iso3_code,country,sdg_region_id,geography_id
108,BDI,Burundi,947,903
174,COM,Comoros,947,903
262,DJI,Djibouti,947,903
232,ERI,Eritrea,947,903
231,ETH,Ethiopia,947,903
404,KEN,Kenya,947,903
450,MDG,Madagascar,947,903
454,MWI,Malawi,947,903
480,MUS,Mauritius,947,903
175,MYT,Mayotte,947,903
508,MOZ,Mozambique,947,903
638,REU,Réunion,947,903
646,RWA,Rwanda,947,903
690,SYC,Seychelles,947,903
706,SOM,Somalia,947,903
728,SSD,South Sudan,947,903
800,UGA,Uganda,947,903
834,TZA,United Republic of Tanzania,947,903
894,ZMB,Zambia,947,903
716,ZWE,Zimbabwe,947,903
24,AGO,Angola,947,903
120,CMR,Cameroon,947,903
140,CAF,Central African Republic,947,903
148,TCD,Chad,947,903
178,COG,Congo,947,903
180,COD,Democratic Republic of the Congo,947,903
226,GNQ,Equatorial Guinea,947,903
266,GAB,Gabon,947,903
678,STP,Sao Tome and Principe,947,903
72,BWA,Botswana,947,903
748,SWZ,Eswatini,947,903
426,LSO,Lesotho,947,903
516,NAM,Namibia,947,903
710,ZAF,South Africa,947,903
204,BEN,Benin,947,903
854,BFA,Burkina Faso,947,903
132,CPV,Cabo Verde,947,903
384,CIV,Côte d'Ivoire,947,903
270,GMB,Gambia,947,903
288,GHA,Ghana,947,903
324,GIN,Guinea,947,903
624,GNB,Guinea-Bissau,947,903
430,LBR,Liberia,947,903
466,MLI,Mali,947,903
478,MRT,Mauritania,947,903
562,NER,Niger,947,903
566,NGA,Nigeria,947,903
654,SHN,Saint Helena,947,903
686,SEN,Senegal,947,903
694,SLE,Sierra Leone,947,903
768,TGO,Togo,947,903
12,DZA,Algeria,1833,903
818,EGY,Egypt,1833,903
434,LBY,Libya,1833,903
504,MAR,Morocco,1833,903
729,SDN,Sudan,1833,903
788,TUN,Tunisia,1833,903
732,ESH,Western Sahara,1833,903
51,ARM,Armenia,1833,935
31,AZE,Azerbaijan,1833,935
48,BHR,Bahrain,1833,935
196,CYP,Cyprus,1833,935
268,GEO,Georgia,1833,935
368,IRQ,Iraq,1833,935
376,ISR,Israel,1833,935
400,JOR,Jordan,1833,935
414,KWT,Kuwait,1833,935
422,LBN,Lebanon,1833,935
512,OMN,Oman,1833,935
634,QAT,Qatar,1833,935
682,SAU,Saudi Arabia,1833,935
275,PSE,State of Palestine,1833,935
760,SYR,Syrian Arab Republic,1833,935
792,TUR,Turkey,1833,935
784,ARE,United Arab Emirates,1833,935
887,YEM,Yemen,1833,935
398,KAZ,Kazakhstan,921,935
417,KGZ,Kyrgyzstan,921,935
762,TJK,Tajikistan,921,935
795,TKM,Turkmenistan,921,935
860,UZB,Uzbekistan,921,935
4,AFG,Afghanistan,921,935
50,BGD,Bangladesh,921,935
64,BTN,Bhutan,921,935
356,IND,India,921,935
364,IRN,Iran (Islamic Republic of),921,935
462,MDV,Maldives,921,935
524,NPL,Nepal,921,935
586,PAK,Pakistan,921,935
144,LKA,Sri Lanka,921,935
156,CHN,China,1832,935
344,HKG,"China, Hong Kong SAR",1832,935
446,MAC,"China, Macao SAR",1832,935
158,TWN,"China, Taiwan Province of China",1832,935
408,PRK,Dem. People's Republic of Korea,1832,935
392,JPN,Japan,1832,935
496,MNG,Mongolia,1832,935
410,KOR,Republic of Korea,1832,935
96,BRN,Brunei Darussalam,1832,935
116,KHM,Cambodia,1832,935
360,IDN,Indonesia,1832,935
418,LAO,Lao People's Democratic Republic,1832,935
458,MYS,Malaysia,1832,935
104,MMR,Myanmar,1832,935
608,PHL,Philippines,1832,935
702,SGP,Singapore,1832,935
764,THA,Thailand,1832,935
626,TLS,Timor-Leste,1832,935
704,VNM,Viet Nam,1832,935
660,AIA,Anguilla,1830,904
28,ATG,Antigua and Barbuda,1830,904
533,ABW,Aruba,1830,904
44,BHS,Bahamas,1830,904
52,BRB,Barbados,1830,904
535,BES,"Bonaire, Sint Eustatius and Saba",1830,904
92,VGB,British Virgin Islands,1830,904
136,CYM,Cayman Islands,1830,904
192,CUB,Cuba,1830,904
531,CUW,Curaçao,1830,904
212,DMA,Dominica,1830,904
214,DOM,Dominican Republic,1830,904
308,GRD,Grenada,1830,904
312,GLP,Guadeloupe,1830,904
332,HTI,Haiti,1830,904
388,JAM,Jamaica,1830,904
474,MTQ,Martinique,1830,904
500,MSR,Montserrat,1830,904
630,PRI,Puerto Rico,1830,904
652,BLM,Saint Barthélemy,1830,904
659,KNA,Saint Kitts and Nevis,1830,904
662,LCA,Saint Lucia,1830,904
663,MAF,Saint Martin (French part),1830,904
670,VCT,Saint Vincent and the Grenadines,1830,904
534,SXM,Sint Maarten (Dutch part),1830,904
780,TTO,Trinidad and Tobago,1830,904
796,TCA,Turks and Caicos Islands,1830,904
850,VIR,United States Virgin Islands,1830,904
84,BLZ,Belize,1830,904
188,CRI,Costa Rica,1830,904
222,SLV,El Salvador,1830,904
320,GTM,Guatemala,1830,904
340,HND,Honduras,1830,904
484,MEX,Mexico,1830,904
558,NIC,Nicaragua,1830,904
591,PAN,Panama,1830,904
32,ARG,Argentina,1830,904
68,BOL,Bolivia (Plurinational State of),1830,904
76,BRA,Brazil,1830,904
152,CHL,Chile,1830,904
