country_id,year,crude_death,life_exp,crude_birth,pop_growth_percent,population_total_thousands
108,1950,25.929,38.422,50.695,2.207,2308.9269999999997
108,1951,25.787,38.574,50.494,2.06,2360.4420000000005
108,1952,25.505,38.877,50.113,1.843,2406.034
108,1953,25.223,39.179,49.774,1.759,2449.0890000000004
108,1954,24.941,39.479,49.477,1.766,2492.1919999999996
108,1955,24.658,39.778,49.223,1.826,2537.1499999999996
108,1956,24.376,40.077,49.01,1.904,2584.9129999999996
108,1957,24.092,40.375,48.836,1.969,2635.6220000000008
108,1958,23.807,40.674,48.699,2,2688.751
108,1959,23.519,40.976,48.592,1.99,2743.2019999999998
108,1960,23.226,41.281,48.51,1.952,2797.9249999999993
108,1961,22.93,41.592,48.446,1.918,2852.438
108,1962,22.629,41.907,48.391,1.925,2907.32
108,1963,22.328,42.225,48.338,2.005,2964.4159999999993
108,1964,22.031,42.54,48.283,2.145,3026.292
108,1965,21.749,42.838,48.212,2.327,3094.377999999999
108,1966,21.496,43.105,48.114,2.503,3170.496
108,1967,21.277,43.332,47.995,2.558,3253.215000000001
108,1968,21.093,43.523,47.867,2.411,3336.9300000000003
108,1969,20.94,43.685,47.749,2.086,3413.9090000000006
108,1970,20.807,43.841,47.677,1.672,3479.07
108,1971,20.677,44.021,47.694,1.285,3530.000000000001
108,1972,20.534,44.246,47.823,1.053,3569.6549999999997
108,1973,20.368,44.528,48.072,1.064,3605.1199999999994
108,1974,20.177,44.865,48.431,1.311,3646.428
108,1975,19.964,45.242,48.878,1.678,3700.8790000000004
108,1976,19.743,45.63,49.376,2.033,3770.8700000000003
108,1977,19.526,45.999,49.876,2.311,3854.4460000000004
108,1978,19.324,46.327,50.335,2.49,3949.2639999999997
108,1979,19.136,46.608,50.726,2.567,4051.2390000000005
108,1980,18.951,46.852,51.038,2.589,4157.296000000001
108,1981,18.751,47.083,51.279,2.606,4266.5199999999995
108,1982,18.526,47.324,51.464,2.637,4379.726999999999
108,1983,18.274,47.581,51.6,2.682,4497.544
108,1984,18.003,47.844,51.676,2.739,4621.096
108,1985,17.741,48.08,51.67,2.795,4750.831999999999
108,1986,17.521,48.243,51.558,2.827,4886.745
108,1987,17.367,48.301,51.323,2.805,5027.142999999999
108,1988,17.289,48.244,50.961,2.709,5168.703000000001
108,1989,17.281,48.08,50.475,2.548,5307.0689999999995
108,1990,17.326,47.829,49.866,2.372,5438.959
108,1991,17.396,47.522,49.136,2.217,5564.923
108,1992,17.452,47.212,48.315,2.052,5685.5689999999995
108,1993,17.458,46.953,47.442,1.842,5798.054000000001
108,1994,17.392,46.786,46.555,1.604,5898.963999999999
108,1995,17.229,46.758,45.702,1.348,5987.044
108,1996,16.954,46.905,44.926,1.116,6060.109999999998
108,1997,16.576,47.226,44.251,1.025,6122.13
108,1998,16.115,47.708,43.696,1.17,6185.564
108,1999,15.583,48.339,43.274,1.539,6267.1320000000005
108,2000,15.005,49.091,42.993,2.02,6378.870999999999
108,2001,14.407,49.93,42.849,2.487,6525.546
108,2002,13.814,50.81,42.809,2.856,6704.118000000002
108,2003,13.248,51.69,42.836,3.091,6909.161
108,2004,12.722,52.547,42.902,3.194,7131.688
108,2005,12.239,53.369,42.981,3.232,7364.856999999999
108,2006,11.791,54.163,43.053,3.268,7607.8499999999985
108,2007,11.36,54.944,43.102,3.295,7862.226
108,2008,10.936,55.721,43.11,3.294,8126.104000000001
108,2009,10.519,56.488,43.057,3.272,8397.661
108,2010,10.113,57.228,42.919,3.232,8675.606000000002
108,2011,9.728,57.925,42.682,3.184,8958.406000000003
108,2012,9.373,58.568,42.35,3.147,9245.992
